,NAME,YEAR,DURATION,GENRE,STARS,DIRECTOR,MSCORE,VOTES,GROSS($)
0,Knives Out,2019,131,"Comedy, Crime, Drama",8.0,Rian Johnson,82,224081,165.36
1,Gisaengchung,2019,132,"Comedy, Drama, Thriller",8.6,Bong Joon Ho,96,313982,53.37
2,1917,2019,119,"Drama, War",8.4,Sam Mendes,78,226433,159.18
3,Uncut Gems,2019,135,"Crime, Drama, Thriller",7.6,Benny Safdie,90,123229,
4,Jojo Rabbit,2019,108,"Comedy, Drama, War",8.0,Taika Waititi,,162681,0.35
5,Once Upon a Time... in Hollywood,2019,161,"Comedy, Drama",7.7,Quentin Tarantino,83,408424,142.5
6,Little Women,2019,135,"Drama, Romance",8.0,Greta Gerwig,91,74743,108.05
7,The Gentlemen,2019,113,"Action, Comedy, Crime",8.1,Guy Ritchie,,51245,
8,Joker,2019,122,"Crime, Drama, Thriller",8.5,Todd Phillips,,714381,335.45
9,Ford v Ferrari,2019,152,"Action, Biography, Drama",8.1,James Mangold,81,168196,117.62
10,Avengers: Endgame,2019,181,"Action, Adventure, Drama",8.4,Anthony Russo,78,679676,858.37
11,Det sjunde inseglet,1957,96,"Drama, Fantasy",8.2,Ingmar Bergman,,151472,
12,The Shawshank Redemption,1994,142,Drama,9.3,Frank Darabont,80,2199969,28.34
13,The Irishman,2019,209,"Biography, Crime, Drama",7.9,Martin Scorsese,94,258061,
14,The Lighthouse,2019,109,"Drama, Fantasy, Horror",7.7,Robert Eggers,83,83259,0.43
15,The Exorcist,1973,122,Horror,8.0,William Friedkin,81,346712,232.91
16,Marriage Story,2019,137,"Comedy, Drama, Romance",8.0,Noah Baumbach,93,188393,
17,Blade Runner 2049,2017,164,"Action, Drama, Mystery",8.0,Denis Villeneuve,81,417379,92.05
18,Toy Story 4,2019,100,"Animation, Adventure, Comedy",7.8,Josh Cooley,84,164117,434.04
19,The Godfather,1972,175,"Crime, Drama",9.2,Francis Ford Coppola,10,1515783,134.97
20,The Dark Knight,2008,152,"Action, Crime, Drama",9.0,Christopher Nolan,84,2181671,534.86
21,Forrest Gump,1994,142,"Drama, Romance",8.8,Robert Zemeckis,82,1698079,330.25
22,Goodfellas,1990,146,"Biography, Crime, Drama",8.7,Martin Scorsese,90,957752,46.84
23,Inception,2010,148,"Action, Adventure, Sci-Fi",8.8,Christopher Nolan,74,1930549,292.58
24,Sen to Chihiro no kamikakushi,2001,125,"Animation, Adventure, Family",8.6,Hayao Miyazaki,96,593541,10.06
25,Interstellar,2014,169,"Adventure, Drama, Sci-Fi",8.6,Christopher Nolan,74,1383564,188.02
26,The Shining,1980,146,"Drama, Horror",8.4,Stanley Kubrick,66,838119,44.02
27,Shutter Island,2010,138,"Mystery, Thriller",8.1,Martin Scorsese,63,1057497,128.01
28,Fight Club,1999,139,Drama,8.8,David Fincher,66,1757082,37.03
29,Harry Potter and the Sorcerer's Stone,2001,152,"Adventure, Family, Fantasy",7.6,Chris Columbus,64,596994,317.58
30,The Wolf of Wall Street,2013,180,"Biography, Crime, Drama",8.2,Martin Scorsese,75,1095374,116.9
31,28 Days Later...,2002,113,"Drama, Horror, Sci-Fi",7.6,Danny Boyle,73,357859,45.06
32,Pulp Fiction,1994,154,"Crime, Drama",8.9,Quentin Tarantino,94,1728824,107.93
33,Thor: Ragnarok,2017,130,"Action, Adventure, Comedy",7.9,Taika Waititi,74,537014,315.06
34,Mission: Impossible - Fallout,2018,147,"Action, Adventure, Thriller",7.8,Christopher McQuarrie,86,264614,220.16
35,The Matrix,1999,136,"Action, Sci-Fi",8.7,Lana Wachowski,73,1584194,171.48
36,Mad Max: Fury Road,2015,120,"Action, Adventure, Sci-Fi",8.1,George Miller,90,823867,154.06
37,There Will Be Blood,2007,158,Drama,8.2,Paul Thomas Anderson,93,485007,40.22
38,Inglourious Basterds,2009,153,"Adventure, Drama, War",8.3,Quentin Tarantino,69,1188205,120.54
39,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action, Adventure, Drama",8.8,Peter Jackson,92,1575671,315.54
40,Call Me by Your Name,2017,132,"Drama, Romance",7.9,Luca Guadagnino,93,180415,18.1
41,Titanic,1997,194,"Drama, Romance",7.8,James Cameron,75,996469,659.33
42,Casino Royale,2006,144,"Action, Adventure, Thriller",8.0,Martin Campbell,80,557516,167.45
43,Jurassic Park,1993,127,"Action, Adventure, Sci-Fi",8.1,Steven Spielberg,68,817611,402.45
44,Baby Driver,2017,113,"Action, Crime, Drama",7.6,Edgar Wright,86,400620,107.83
45,Green Book,2018,130,"Biography, Comedy, Drama",8.2,Peter Farrelly,69,297983,85.08
46,Avengers: Infinity War,2018,149,"Action, Adventure, Sci-Fi",8.5,Anthony Russo,68,753000,678.82
47,Good Will Hunting,1997,126,"Drama, Romance",8.3,Gus Van Sant,70,807782,138.43
48,The Silence of the Lambs,1991,118,"Crime, Drama, Thriller",8.6,Jonathan Demme,85,1194347,130.74
49,Gone Girl,2014,149,"Drama, Mystery, Thriller",8.1,David Fincher,79,802101,167.77
